kommune,klassetrin,foraeldre_uddannelsesniveau
Ikast-Brande,Indskoling,5.110437710437711
Ikast-Brande,Mellemtrin,5.09347442680776
Ikast-Brande,Udskoling,5.021701388888889
Ishøj,Indskoling,4.956852791878172
Ishøj,Mellemtrin,4.885304659498208
Ishøj,Udskoling,4.72680412371134
Jammerbugt,Indskoling,5.029141104294479
Jammerbugt,Mellemtrin,4.995833333333334
Jammerbugt,Udskoling,4.929752066115703
Kalundborg,Indskoling,4.5867697594501715
Kalundborg,Mellemtrin,4.6044340723453905
Kalundborg,Udskoling,4.669642857142857
Kerteminde,Indskoling,4.9605781865965834
Kerteminde,Mellemtrin,4.979667282809612
Kerteminde,Udskoling,4.977777777777778
Kolding,Indskoling,5.2875662934590455
Kolding,Mellemtrin,5.235785953177258
Kolding,Udskoling,5.231004366812227
København,Indskoling,6.007094943240454
København,Mellemtrin,5.854664391353811
København,Udskoling,5.735684178061067
Køge,Indskoling,5.230804810360777
Køge,Mellemtrin,5.086466165413534
Køge,Udskoling,5.0777777777777775
Langeland,Indskoling,4.75
Langeland,Mellemtrin,4.693023255813953
Langeland,Udskoling,4.917197452229299
Lejre,Indskoling,5.728406055209261
Lejre,Mellemtrin,5.555142503097893
Lejre,Udskoling,5.414529914529915
Lemvig,Indskoling,5.066790352504638
Lemvig,Mellemtrin,5.077120822622108
Lemvig,Udskoling,5.046153846153846
Lolland,Indskoling,4.191724137931034
Lolland,Mellemtrin,4.201086956521739
Lolland,Udskoling,4.313232830820771
Lyngby-Taarbæk,Indskoling,6.4034275127373785
Lyngby-Taarbæk,Mellemtrin,6.29783393501805
Lyngby-Taarbæk,Udskoling,6.288535031847133
Læsø,Indskoling,5.5588235294117645
Læsø,Mellemtrin,5.071428571428571
Læsø,Udskoling,5.409090909090909
Mariagerfjord,Indskoling,5.115072933549433
Mariagerfjord,Mellemtrin,5.0476190476190474
Mariagerfjord,Udskoling,5.072134387351778
Middelfart,Indskoling,5.31701444622793
Middelfart,Mellemtrin,5.235827664399093
Middelfart,Udskoling,5.1245714285714286
Morsø,Indskoling,4.844054580896686
Morsø,Mellemtrin,4.66578947368421
Morsø,Udskoling,4.710416666666666
Norddjurs,Indskoling,4.71530612244898
Norddjurs,Mellemtrin,4.7280334728033475
Norddjurs,Udskoling,4.780141843971631
Nordfyns,Indskoling,5.056862745098039
Nordfyns,Mellemtrin,4.915343915343915
Nordfyns,Udskoling,4.870927318295739
Nyborg,Indskoling,5.029137529137529
Nyborg,Mellemtrin,4.934859154929577
Nyborg,Udskoling,4.8517179023508135
Næstved,Indskoling,5.020094994519547
Næstved,Mellemtrin,4.928928928928929
Næstved,Udskoling,5.027834008097166
Odder,Indskoling,5.445178335535006
Odder,Mellemtrin,5.2531380753138075
Odder,Udskoling,5.140625
Odense,Indskoling,5.568145939308893
Odense,Mellemtrin,5.472959439158738
Odense,Udskoling,5.398340248962656
Odsherred,Indskoling,4.629005059021923
Odsherred,Mellemtrin,4.5473684210526315
Odsherred,Udskoling,4.523706896551724
Randers,Indskoling,5.086677367576244
Randers,Mellemtrin,5.0252380952380955
Randers,Udskoling,4.9604784191367655
Rebild,Indskoling,5.641672674837779
Rebild,Mellemtrin,5.394438722966014
Rebild,Udskoling,5.346578366445916
Ringkøbing-Skjern,Indskoling,4.980737479361585
Ringkøbing-Skjern,Mellemtrin,4.932190179267343
Ringkøbing-Skjern,Udskoling,4.898866608544028
Ringsted,Indskoling,5.065789473684211
Ringsted,Mellemtrin,5.15429403202329
Ringsted,Udskoling,5.0379562043795625
Roskilde,Indskoling,5.8352130325814535
Roskilde,Mellemtrin,5.775862068965517
Roskilde,Udskoling,5.744586831639417
Rudersdal,Indskoling,6.405797101449275
Rudersdal,Mellemtrin,6.317948717948718
Rudersdal,Udskoling,6.162253903598099
Rødovre,Indskoling,5.537199765670767
Rødovre,Mellemtrin,5.384959713518353
Rødovre,Udskoling,5.282816229116945
Samsø,Indskoling,5.424242424242424
Samsø,Mellemtrin,5.266666666666667
Samsø,Udskoling,5.280701754385965
Silkeborg,Indskoling,5.6303784344219805
Silkeborg,Mellemtrin,5.440133500208594
Silkeborg,Udskoling,5.325286415711948
Skanderborg,Indskoling,5.953374233128835
Skanderborg,Mellemtrin,5.7700331910858225
Skanderborg,Udskoling,5.694192860948322
Skive,Indskoling,5.007724719101123
Skive,Mellemtrin,4.944444444444445
Skive,Udskoling,5.027729636048527
Slagelse,Indskoling,4.8324444444444445
Slagelse,Mellemtrin,4.746683512318383
Slagelse,Udskoling,4.870516717325228
Solrød,Indskoling,5.643874643874644
Solrød,Mellemtrin,5.530254777070064
Solrød,Udskoling,5.397745571658615
Sorø,Indskoling,5.213675213675214
Sorø,Mellemtrin,5.123728813559322
Sorø,Udskoling,5.135384615384615
