kommune,klassetrin,skoleår,fravaer_pct,trivsel_score
Ikast-Brande,Udskoling,2024/2025,8.2,3.5835664335664332
Ishøj,Mellemtrin,2024/2025,8.2,3.6518999999999995
Ishøj,Udskoling,2024/2025,8.5,3.6668668668668665
Jammerbugt,Mellemtrin,2024/2025,7.4,3.746046046046046
Jammerbugt,Udskoling,2024/2025,8.8,3.4824
Kalundborg,Mellemtrin,2024/2025,8.6,3.6016483516483513
Kalundborg,Udskoling,2024/2025,10.7,3.507642357642357
Kerteminde,Mellemtrin,2024/2025,8.7,3.6157157157157154
Kerteminde,Udskoling,2024/2025,11.0,3.603603603603603
Kolding,Mellemtrin,2024/2025,7.7,3.7429929929929933
Kolding,Udskoling,2024/2025,10.7,3.6106500000000006
København,Mellemtrin,2024/2025,8.3,3.6977499999999996
København,Udskoling,2024/2025,9.9,3.5905999999999993
Køge,Mellemtrin,2024/2025,9.4,3.61985
Køge,Udskoling,2024/2025,12.1,3.5055499999999995
Langeland,Mellemtrin,2024/2025,6.8,3.67987012987013
Langeland,Udskoling,2024/2025,8.9,3.6236999999999995
Lejre,Mellemtrin,2024/2025,7.8,3.5254999999999996
Lejre,Udskoling,2024/2025,8.8,3.45835
Lemvig,Mellemtrin,2024/2025,6.1,3.7368499999999996
Lemvig,Udskoling,2024/2025,7.2,3.564535464535464
Lolland,Mellemtrin,2024/2025,11.1,3.5804
Lolland,Udskoling,2024/2025,13.7,3.5305999999999993
Lyngby-Taarbæk,Mellemtrin,2024/2025,7.3,3.8054945054945053
Lyngby-Taarbæk,Udskoling,2024/2025,7.6,3.6747
Læsø,Mellemtrin,2024/2025,6.1,3.7997502497502498
Læsø,Udskoling,2024/2025,1.7,3.627
Mariagerfjord,Mellemtrin,2024/2025,6.8,3.715865865865866
Mariagerfjord,Udskoling,2024/2025,8.0,3.65985
Middelfart,Mellemtrin,2024/2025,7.2,3.6846500000000004
Middelfart,Udskoling,2024/2025,8.2,3.5926
Morsø,Mellemtrin,2024/2025,6.9,3.67045
Morsø,Udskoling,2024/2025,9.6,3.4502499999999996
Norddjurs,Mellemtrin,2024/2025,8.4,3.5351000000000004
Norddjurs,Udskoling,2024/2025,9.8,3.5395
Nordfyns,Mellemtrin,2024/2025,8.7,3.6735999999999995
Nordfyns,Udskoling,2024/2025,10.4,3.4727499999999996
Nyborg,Mellemtrin,2024/2025,7.7,3.5773999999999995
Nyborg,Udskoling,2024/2025,8.5,3.5416416416416414
Næstved,Mellemtrin,2024/2025,8.2,3.6736736736736733
Næstved,Udskoling,2024/2025,10.9,3.5362999999999998
Odder,Mellemtrin,2024/2025,6.3,3.5400499999999995
Odder,Udskoling,2024/2025,6.2,3.5648
Odense,Mellemtrin,2024/2025,6.5,3.7248499999999996
Odense,Udskoling,2024/2025,6.4,3.5665999999999993
Odsherred,Mellemtrin,2024/2025,9.2,3.5387
Odsherred,Udskoling,2024/2025,12.3,3.4372499999999993
Randers,Mellemtrin,2024/2025,7.2,3.7286213786213787
Randers,Udskoling,2024/2025,8.1,3.5375
Rebild,Mellemtrin,2024/2025,6.4,3.70185
Rebild,Udskoling,2024/2025,7.9,3.5547999999999997
Ringkøbing-Skjern,Mellemtrin,2024/2025,7.1,3.801548451548451
Ringkøbing-Skjern,Udskoling,2024/2025,9.4,3.5943
Ringsted,Mellemtrin,2024/2025,10.0,3.7338
Ringsted,Udskoling,2024/2025,5.0,3.5145
Roskilde,Mellemtrin,2024/2025,8.5,3.6348000000000003
Roskilde,Udskoling,2024/2025,8.8,3.578849999999999
Rudersdal,Mellemtrin,2024/2025,7.4,3.723023023023023
Rudersdal,Udskoling,2024/2025,8.8,3.6268000000000002
Rødovre,Mellemtrin,2024/2025,7.2,3.62775
Rødovre,Udskoling,2024/2025,8.1,3.472272272272272
Samsø,Mellemtrin,2024/2025,9.3,3.741191191191191
Samsø,Udskoling,2024/2025,14.3,3.2882499999999997
Silkeborg,Mellemtrin,2024/2025,6.4,3.6986013986013986
Silkeborg,Udskoling,2024/2025,7.5,3.551701701701702
Skanderborg,Mellemtrin,2024/2025,7.8,3.724625374625374
Skanderborg,Udskoling,2024/2025,9.8,3.63075
Skive,Mellemtrin,2024/2025,6.6,3.6927499999999998
Skive,Udskoling,2024/2025,7.8,3.5546999999999995
Slagelse,Mellemtrin,2024/2025,10.5,3.6535964035964033
Slagelse,Udskoling,2024/2025,11.5,3.556599999999999
Solrød,Mellemtrin,2024/2025,8.1,3.73375
Solrød,Udskoling,2024/2025,9.3,3.5637499999999993
Sorø,Mellemtrin,2024/2025,7.1,3.5342499999999997
Sorø,Udskoling,2024/2025,8.3,3.5595999999999997
Stevns,Mellemtrin,2024/2025,9.5,3.5645645645645643
Stevns,Udskoling,2024/2025,10.6,3.460749999999999
Struer,Mellemtrin,2024/2025,5.1,3.7661161161161156
Struer,Udskoling,2024/2025,5.0,3.5899999999999994
Svendborg,Mellemtrin,2024/2025,9.2,3.68275
Svendborg,Udskoling,2024/2025,7.6,3.5085999999999995
Syddjurs,Mellemtrin,2024/2025,7.5,3.6657500000000005
Syddjurs,Udskoling,2024/2025,9.2,3.5027527527527527
Sønderborg,Mellemtrin,2024/2025,6.7,3.7497499999999997
Sønderborg,Udskoling,2024/2025,7.8,3.5305805805805806
Thisted,Mellemtrin,2024/2025,7.8,3.6637499999999994
Thisted,Udskoling,2024/2025,10.2,3.5806306306306306
Tårnby,Mellemtrin,2024/2025,10.1,3.6147147147147147
Tårnby,Udskoling,2024/2025,11.3,3.4613999999999994
Tønder,Mellemtrin,2024/2025,7.1,3.7117999999999993
Tønder,Udskoling,2024/2025,8.2,3.5008999999999992
Vallensbæk,Mellemtrin,2024/2025,7.8,3.7018499999999994
Vallensbæk,Udskoling,2024/2025,9.4,3.6549
Varde,Mellemtrin,2024/2025,6.4,3.6817499999999996
Varde,Udskoling,2024/2025,8.5,3.5274
Vejen,Mellemtrin,2024/2025,8.4,3.6437
Vejen,Udskoling,2024/2025,10.1,3.534665334665335
Vejle,Mellemtrin,2024/2025,7.0,3.667817817817818
Vejle,Udskoling,2024/2025,8.3,3.5346499999999996
Vesthimmerlands,Mellemtrin,2024/2025,6.7,3.6748499999999997
Vesthimmerlands,Udskoling,2024/2025,8.9,3.60955
Viborg,Mellemtrin,2024/2025,6.7,3.6866633366633366
Viborg,Udskoling,2024/2025,8.3,3.5175824175824175
Vordingborg,Mellemtrin,2024/2025,9.1,3.67072927072927
Vordingborg,Udskoling,2024/2025,12.4,3.5266999999999995
Ærø,Mellemtrin,2024/2025,9.2,3.6799999999999993
Ærø,Udskoling,2024/2025,10.2,3.6240000000000006
